truncated_location,energy_usage,center_lon,center_lat
Green Music Center,359341.51,-122.6694231829575,38.34395293745609
Ives Hall,1169.25,-122.67339373862295,38.33932808389069
Nichols Hall,1777.05,-122.67650268325632,38.34132375182814
Physical Education,1594832.05,-122.67201007202415,38.340995903373226
Rachel Carson Hall,0.0,-122.67671872863805,38.34168385276396
Student Center,2031.73,-122.67560568074242,38.3390794644033
Student Health Center,0.0,-122.67709260679177,38.34101659730812
Wine Spectator Center,376516.78,-122.67368776394262,38.341605965106126
