Timestamp,Ives Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e3195-c20a1a8e,Stevenson Hall Total Electric Meter Usage / p:sonomastate:r:251810ce-f429b841,Art Building Total CHW BTU Meter Usage / p:sonomastate:r:1f97c82e-d1a92673,Schulz Info Center Total Electric Meter Usage / p:sonomastate:r:1f97c82e-c34c4f2e,Boiler Plant Total Boiler Gas Meter Usage (C) / p:sonomastate:r:234a6e2b-318cf13d,Green Music Center Total Electric Meter Usage (C) / p:sonomastate:r:234ab131-e413ba29,Student Health Center Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e61c5-83f6cf71,Salazar Hall Total Electric Meter Usage Option A (C) / p:sonomastate:r:20c9b2e1-d7263cf1,Green Music Center Total CHW BTU Meter Usage / p:sonomastate:r:1f98265e-39835c84,Stevenson Hall HHW BTU Meter Usage / p:sonomastate:r:267fcb62-ed42e3b3,Physical Education Total Electric Meter Usage (C) / p:sonomastate:r:206db469-c986212b,Nichols Hall Total Electric Meter Usage (C) / p:sonomastate:r:234e40da-635bc7c1,Rachel Carson Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234aa43b-a73abf5e,Ives Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e3195-7d72fbdc,Green Music Center Total Gas Meter Usage (M) (C) / p:sonomastate:r:234aab84-c656a0e0,Student Center Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e5dff-6fe20abd,Darwin Hall Total Electric Meter (M) Usage / p:sonomastate:r:267e6fd0-93d67a62,Schulz Info Center Total CHW BTU Meter Usage / p:sonomastate:r:1f97c82e-525ca261,Salazar Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:20c9b4d5-5ea6aa0b,Schulz Info Center Total Gas Meter Usage (C) / p:sonomastate:r:206e94b8-3b05cb50,Green Music Center Total Water Meter Usage (C) / p:sonomastate:r:234aa782-f7b1eef2,Student Health Center Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e61c5-021da430,Rachel Carson Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234aa121-a983880d,Student Center Total Electric Meter (C) Usage (C) / p:sonomastate:r:20c9aa07-acd1558a,Nichols Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e3ee2-f6fcea18,Wine Spectator Learning Ctr Total Electric Meter Usage (C) / p:sonomastate:r:250ea73e-3b55a6cf,Rachel Carson Hall Total Electric Meter Usage / p:sonomastate:r:1f98265e-cbf77175,Green Music Center Total HW BTU Meter Usage (C) / p:sonomastate:r:234aa956-82d369b2,Salazar Hall Total Electric Meter Usage Option B (C) / p:sonomastate:r:234e4c64-930d1fd6,Art Building Total HHW BTU Meter Usage / p:sonomastate:r:1f97c82e-36e60525,Nichols Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e3ee2-b06b6c8c,Student Center Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e5dff-8d8eb031,ETC Total Electric Meter Usage / p:sonomastate:r:1f97c82e-dd011464,Ives Hall  Total Electric Meter Usage (C) / p:sonomastate:r:206d9425-f3361ab6
2024-11-10T17:00:00-08:00 Los_Angeles,0BTU,"","","","",1759.324951171875kWh,0BTU,"",2260904.875BTU,"",15739.330078125kWh,6.576000213623047kWh,0BTU,46230.3994140625BTU,"",932.2236328125BTU,"","","","","",0BTU,0BTU,0kWh,18790.806640625BTU,134.08506190776825kWh,"",52.18750762939453_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T17:15:00-08:00 Los_Angeles,0BTU,"","","","",2377.449951171875kWh,0BTU,"",2249504.9375BTU,"",15568.6025390625kWh,3.2160000801086426kWh,0BTU,46316.3603515625BTU,"",416.6847839355469BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",74.47916793823242_MBTU,"","",0BTU,82555.6796875BTU,"",0kWh
2024-11-10T17:30:00-08:00 Los_Angeles,0BTU,"","","","",2378.824951171875kWh,0BTU,"",2018869.5625BTU,"",14830.91796875kWh,3.120000123977661kWh,0BTU,44403.6806640625BTU,"",2467.8858642578125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",66.87499809265137_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T17:45:00-08:00 Los_Angeles,0BTU,"","","","",2167.675048828125kWh,0BTU,"",1457680.5625BTU,"",14906.97265625kWh,3.008000135421753kWh,0BTU,47165.5BTU,"",1919.89794921875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",60.9375_MBTU,"","",0BTU,88129.1171875BTU,"",0kWh
2024-11-10T18:00:00-08:00 Los_Angeles,0BTU,"","","","",2157.300048828125kWh,0BTU,"",1224189.875BTU,"",15096.525390625kWh,2.8480000495910645kWh,0BTU,50208.935546875BTU,"",4957.217041015625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,129.16191625595093kWh,"",62.39582824707031_MBTU,"","",0BTU,147012.1484375BTU,"",0kWh
2024-11-10T18:15:00-08:00 Los_Angeles,0BTU,"","","","",2161.39990234375kWh,0BTU,"",682260.109375BTU,"",15628.279296875kWh,2.880000114440918kWh,0BTU,48603.0283203125BTU,"",2883.916259765625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",50.72916221618652_MBTU,"","",0BTU,78133.1640625BTU,"",0kWh
2024-11-10T18:30:00-08:00 Los_Angeles,0BTU,"","","","",2156.10009765625kWh,0BTU,"",546510BTU,"",16594.73046875kWh,2.880000114440918kWh,0BTU,51896.5361328125BTU,"",6637.997802734375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",41.35417890548706_MBTU,"","",0BTU,1476.1041259765625BTU,"",0kWh
2024-11-10T18:45:00-08:00 Los_Angeles,0BTU,"","","","",2150.27490234375kWh,0BTU,"",206194.99609375BTU,"",14769.447265625kWh,2.9600000381469727kWh,0BTU,54646.833984375BTU,"",3659.602783203125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",75.41667652130127_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T19:00:00-08:00 Los_Angeles,0BTU,"","","","",2150.449951171875kWh,0BTU,"",521469.609375BTU,"",15433.1044921875kWh,3.0400002002716064kWh,0BTU,45428.43359375BTU,"",7639.08349609375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,131.36937999725342kWh,"",75.93749237060547_MBTU,"","",0BTU,156836.75BTU,"",0kWh
2024-11-10T19:15:00-08:00 Los_Angeles,0BTU,"","","","",2159.324951171875kWh,0BTU,"",590314.796875BTU,"",14918.681640625kWh,2.81600022315979kWh,0BTU,37157.1826171875BTU,"",4114.31494140625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",45.62500333786011_MBTU,"","",0BTU,31430.708984375BTU,"",0kWh
2024-11-10T19:30:00-08:00 Los_Angeles,0BTU,"","","","",2151.75kWh,0BTU,"",184590.03515625BTU,"",16034.923828125kWh,2.944000244140625kWh,0BTU,35123.763671875BTU,"",8376.91943359375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",44.895840644836426_MBTU,"","",0BTU,66341.310546875BTU,"",0kWh
2024-11-10T19:45:00-08:00 Los_Angeles,0BTU,"","","","",2150.699951171875kWh,0BTU,"",389614.8515625BTU,"",15496.560546875kWh,3.0880000591278076kWh,0BTU,33276.8623046875BTU,"",4211.84326171875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",59.16666793823242_MBTU,"","",0BTU,35041.35546875BTU,"",0kWh
2024-11-10T20:00:00-08:00 Los_Angeles,0BTU,"","","","",2155.125kWh,0BTU,"",665404.703125BTU,"",14951.5625kWh,3.0880000591278076kWh,0BTU,43789.423828125BTU,"",8724.5341796875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,132.8086907863617kWh,"",50.31248664855957_MBTU,"","",0BTU,139287.56640625BTU,"",0kWh
2024-11-10T20:15:00-08:00 Los_Angeles,0BTU,"","","","",2154.64990234375kWh,0BTU,"",416500.046875BTU,"",15979.4140625kWh,3.2320001125335693kWh,0BTU,51704.8515625BTU,"",4450.73974609375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",60.41668224334717_MBTU,"","",0BTU,65934.3046875BTU,"",0kWh
2024-11-10T20:30:00-08:00 Los_Angeles,0BTU,"","","","",2147.574951171875kWh,0BTU,"",634365.09375BTU,"",16423.408203125kWh,3.120000123977661kWh,0BTU,47194.4306640625BTU,"",8818.4951171875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",57.187509536743164_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T20:45:00-08:00 Los_Angeles,0BTU,"","","","",2158.10009765625kWh,0BTU,"",737474.90625BTU,"",16063.357421875kWh,2.640000104904175kWh,0BTU,46515.064453125BTU,"",4547.962890625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",51.97916126251221_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T21:00:00-08:00 Los_Angeles,0BTU,"","","","",2157.10009765625kWh,0BTU,"",339185.03515625BTU,"",15952.11328125kWh,2.576000213623047kWh,0BTU,49867.64453125BTU,"",8876.333984375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,131.2258335351944kWh,"",57.083322525024414_MBTU,"","",0BTU,70354.125BTU,"",0kWh
2024-11-10T21:15:00-08:00 Los_Angeles,0BTU,"","","","",2153.125kWh,0BTU,"",291805.0625BTU,"",16991.353515625kWh,2.5920000076293945kWh,0BTU,45102.31640625BTU,"",4496.181640625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",54.791656494140625_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T21:30:00-08:00 Los_Angeles,0BTU,"","","","",110.5999984741211kWh,0BTU,"",679240BTU,"",14841.111328125kWh,2.640000104904175kWh,0BTU,47502.96875BTU,"",9113.62158203125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",50.62499141693115_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T21:45:00-08:00 Los_Angeles,0BTU,"","","","",92.07499694824219kWh,0BTU,"",673479.90625BTU,"",15997.8447265625kWh,2.6720001697540283kWh,0BTU,55792.5234375BTU,"",4487.8515625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",61.87499237060547_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T22:00:00-08:00 Los_Angeles,0BTU,"","","","",89.05000305175781kWh,0BTU,"",183539.921875BTU,"",14935.720703125kWh,2.704000234603882kWh,0BTU,59159.255859375BTU,"",9228.43603515625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,126.83806419372559kWh,"",51.8750057220459_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T22:15:00-08:00 Los_Angeles,0BTU,"","","","",85.95000457763672kWh,0BTU,"",435819.875BTU,"",15771.00390625kWh,2.5920000076293945kWh,0BTU,55574.205078125BTU,"",4592.44287109375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",51.041666984558105_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T22:30:00-08:00 Los_Angeles,0BTU,"","","","",90.82499694824219kWh,0BTU,"",635400.015625BTU,"",15218.28515625kWh,2.5920000076293945kWh,0BTU,60591.83203125BTU,"",9212.373046875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",59.375_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T22:45:00-08:00 Los_Angeles,0BTU,"","","","",90.5250015258789kWh,0BTU,"",263044.8984375BTU,"",16161.048828125kWh,2.6560001373291016kWh,0BTU,59071.017578125BTU,"",4681.865234375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",54.270822525024414_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T23:00:00-08:00 Los_Angeles,0BTU,"","","","",86.0250015258789kWh,0BTU,"",271600.07421875BTU,"",14611.533203125kWh,2.7840001583099365kWh,0BTU,53672.80859375BTU,"",9382.3642578125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,122.21363544464111kWh,"",55.208333015441895_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T23:15:00-08:00 Los_Angeles,0BTU,"","","","",92.4000015258789kWh,0BTU,"",667360.15625BTU,"",16988.255859375kWh,2.8000001907348633kWh,0BTU,43398.0595703125BTU,"",4788.84130859375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",73.64582824707031_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T23:30:00-08:00 Los_Angeles,0BTU,"","","","",92.5999984741211kWh,0BTU,"",339320.2734375BTU,"",15060.6904296875kWh,2.864000082015991kWh,0BTU,39091.6640625BTU,"",9436.49609375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",61.979164123535156_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T23:45:00-08:00 Los_Angeles,0BTU,"","","","",82.70000457763672kWh,0BTU,"",157699.84765625BTU,"",15566.203125kWh,2.8480000495910645kWh,0BTU,37150.1923828125BTU,"",4768.31689453125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",63.1249885559082_MBTU,"","",0BTU,19298.4765625BTU,"",0kWh
