truncated_location,energy_usage,center_lon,center_lat
Green Music Center,964252088.0639122,-122.6694231829575,38.34395293745609
Ives Hall,3990726.8152923584,-122.67339373862295,38.33932808389069
Nichols Hall,4462827.335185528,-122.67650268325632,38.34132375182814
Physical Education,1594832.095703125,-122.67201007202415,38.340995903373226
Rachel Carson Hall,0.0,-122.67671872863805,38.34168385276396
Student Center,6934588.83694458,-122.67560568074242,38.3390794644033
Student Health Center,0.0,-122.67709260679177,38.34101659730812
Wine Spectator Center,388095.8660722077,-122.67368776394262,38.341605965106126
